action_id,account_id,collector_id,action_date,action_type,note_count,worked_flag,load_ts,batch_id,src_file_name
50001,5383,16,2026-01-14,CALL,3,N,2026-01-19 10:00:00,batch_003,workqueue_actions_batch_003.csv
50002,2614,20,2026-01-15,REVIEW,0,N,2026-01-19 10:00:00,batch_003,workqueue_actions_batch_003.csv
50003,1055,2,2026-01-15,CALL,0,Y,2026-01-19 10:00:00,batch_003,workqueue_actions_batch_003.csv
50004,2172,7,2026-01-17,ESCALATE,3,N,2026-01-19 10:00:00,batch_003,workqueue_actions_batch_003.csv
50005,3103,5,2026-01-19,REVIEW,3,Y,2026-01-19 10:00:00,batch_003,workqueue_actions_batch_003.csv
50006,2489,11,2026-01-19,REVIEW,1,N,2026-01-19 10:00:00,batch_003,workqueue_actions_batch_003.csv
50007,5433,3,2026-01-18,REVIEW,1,N,2026-01-19 10:00:00,batch_003,workqueue_actions_batch_003.csv
50008,1382,9,2026-01-17,NOTE,2,N,2026-01-19 10:00:00,batch_003,workqueue_actions_batch_003.csv
50009,4112,17,2026-01-17,CALL,1,Y,2026-01-19 10:00:00,batch_003,workqueue_actions_batch_003.csv
50010,4433,14,2026-01-14,CALL,4,Y,2026-01-19 10:00:00,batch_003,workqueue_actions_batch_003.csv
50011,4099,7,2026-01-17,CALL,2,N,2026-01-19 10:00:00,batch_003,workqueue_actions_batch_003.csv
50012,2862,20,2026-01-15,ESCALATE,3,Y,2026-01-19 10:00:00,batch_003,workqueue_actions_batch_003.csv
50013,1311,4,2026-01-16,CALL,4,Y,2026-01-19 10:00:00,batch_003,workqueue_actions_batch_003.csv
50014,4192,14,2026-01-17,NOTE,4,Y,2026-01-19 10:00:00,batch_003,workqueue_actions_batch_003.csv
50015,2228,8,2026-01-19,NOTE,4,Y,2026-01-19 10:00:00,batch_003,workqueue_actions_batch_003.csv
50016,1558,4,2026-01-16,REVIEW,4,N,2026-01-19 10:00:00,batch_003,workqueue_actions_batch_003.csv
50017,1208,16,2026-01-16,ESCALATE,2,Y,2026-01-19 10:00:00,batch_003,workqueue_actions_batch_003.csv
50018,3665,8,2026-01-19,NOTE,2,N,2026-01-19 10:00:00,batch_003,workqueue_actions_batch_003.csv
50019,2889,11,2026-01-15,CALL,0,N,2026-01-19 10:00:00,batch_003,workqueue_actions_batch_003.csv
50020,2891,8,2026-01-16,NOTE,4,N,2026-01-19 10:00:00,batch_003,workqueue_actions_batch_003.csv
50021,4865,20,2026-01-16,ESCALATE,2,N,2026-01-19 10:00:00,batch_003,workqueue_actions_batch_003.csv
50022,2603,4,2026-01-18,NOTE,0,Y,2026-01-19 10:00:00,batch_003,workqueue_actions_batch_003.csv
50023,2121,6,2026-01-18,REVIEW,1,N,2026-01-19 10:00:00,batch_003,workqueue_actions_batch_003.csv
50024,2462,5,2026-01-14,ESCALATE,4,N,2026-01-19 10:00:00,batch_003,workqueue_actions_batch_003.csv
50025,1218,8,2026-01-19,CALL,3,Y,2026-01-19 10:00:00,batch_003,workqueue_actions_batch_003.csv
50026,2797,9,2026-01-15,ESCALATE,0,Y,2026-01-19 10:00:00,batch_003,workqueue_actions_batch_003.csv
50027,3381,1,2026-01-18,NOTE,2,Y,2026-01-19 10:00:00,batch_003,workqueue_actions_batch_003.csv
50028,5200,19,2026-01-18,REVIEW,4,N,2026-01-19 10:00:00,batch_003,workqueue_actions_batch_003.csv
50029,3279,6,2026-01-19,CALL,3,Y,2026-01-19 10:00:00,batch_003,workqueue_actions_batch_003.csv
50030,4604,4,2026-01-18,CALL,4,Y,2026-01-19 10:00:00,batch_003,workqueue_actions_batch_003.csv
50031,3976,1,2026-01-16,ESCALATE,2,N,2026-01-19 10:00:00,batch_003,workqueue_actions_batch_003.csv
50032,3567,2,2026-01-14,ESCALATE,4,N,2026-01-19 10:00:00,batch_003,workqueue_actions_batch_003.csv
50033,1792,17,2026-01-17,CALL,3,Y,2026-01-19 10:00:00,batch_003,workqueue_actions_batch_003.csv
50034,1870,15,2026-01-15,NOTE,2,N,2026-01-19 10:00:00,batch_003,workqueue_actions_batch_003.csv
50035,5390,16,2026-01-18,ESCALATE,1,Y,2026-01-19 10:00:00,batch_003,workqueue_actions_batch_003.csv
50036,4947,8,2026-01-17,NOTE,0,N,2026-01-19 10:00:00,batch_003,workqueue_actions_batch_003.csv
50037,3170,20,2026-01-19,CALL,4,Y,2026-01-19 10:00:00,batch_003,workqueue_actions_batch_003.csv
50038,2118,10,2026-01-17,NOTE,4,Y,2026-01-19 10:00:00,batch_003,workqueue_actions_batch_003.csv
50039,4084,2,2026-01-18,REVIEW,0,N,2026-01-19 10:00:00,batch_003,workqueue_actions_batch_003.csv
50040,2570,15,2026-01-18,CALL,0,Y,2026-01-19 10:00:00,batch_003,workqueue_actions_batch_003.csv
50041,1990,2,2026-01-16,NOTE,0,N,2026-01-19 10:00:00,batch_003,workqueue_actions_batch_003.csv
50042,3216,7,2026-01-15,ESCALATE,0,Y,2026-01-19 10:00:00,batch_003,workqueue_actions_batch_003.csv
50043,5171,7,2026-01-16,REVIEW,3,Y,2026-01-19 10:00:00,batch_003,workqueue_actions_batch_003.csv
50044,1607,19,2026-01-19,NOTE,3,Y,2026-01-19 10:00:00,batch_003,workqueue_actions_batch_003.csv
50045,1296,13,2026-01-17,NOTE,4,N,2026-01-19 10:00:00,batch_003,workqueue_actions_batch_003.csv
50046,4835,17,2026-01-16,ESCALATE,4,Y,2026-01-19 10:00:00,batch_003,workqueue_actions_batch_003.csv
50047,4650,3,2026-01-19,ESCALATE,2,N,2026-01-19 10:00:00,batch_003,workqueue_actions_batch_003.csv
50048,2834,17,2026-01-14,CALL,0,Y,2026-01-19 10:00:00,batch_003,workqueue_actions_batch_003.csv
50049,5159,14,2026-01-18,REVIEW,0,Y,2026-01-19 10:00:00,batch_003,workqueue_actions_batch_003.csv
50050,3238,20,2026-01-19,REVIEW,3,Y,2026-01-19 10:00:00,batch_003,workqueue_actions_batch_003.csv
50051,2688,14,2026-01-19,CALL,0,N,2026-01-19 10:00:00,batch_003,workqueue_actions_batch_003.csv
50052,3460,15,2026-01-14,NOTE,0,Y,2026-01-19 10:00:00,batch_003,workqueue_actions_batch_003.csv
50053,4465,16,2026-01-19,NOTE,4,Y,2026-01-19 10:00:00,batch_003,workqueue_actions_batch_003.csv
50054,2093,18,2026-01-18,CALL,3,N,2026-01-19 10:00:00,batch_003,workqueue_actions_batch_003.csv
50055,4043,15,2026-01-14,ESCALATE,4,Y,2026-01-19 10:00:00,batch_003,workqueue_actions_batch_003.csv
50056,1151,2,2026-01-19,CALL,4,N,2026-01-19 10:00:00,batch_003,workqueue_actions_batch_003.csv
50057,3659,16,2026-01-19,CALL,3,Y,2026-01-19 10:00:00,batch_003,workqueue_actions_batch_003.csv
50058,1022,14,2026-01-19,NOTE,4,N,2026-01-19 10:00:00,batch_003,workqueue_actions_batch_003.csv
50059,3739,13,2026-01-18,ESCALATE,1,N,2026-01-19 10:00:00,batch_003,workqueue_actions_batch_003.csv
50060,3204,17,2026-01-15,REVIEW,3,Y,2026-01-19 10:00:00,batch_003,workqueue_actions_batch_003.csv
50061,1473,5,2026-01-19,ESCALATE,3,N,2026-01-19 10:00:00,batch_003,workqueue_actions_batch_003.csv
50062,4197,3,2026-01-15,CALL,3,N,2026-01-19 10:00:00,batch_003,workqueue_actions_batch_003.csv
50063,1472,15,2026-01-19,ESCALATE,3,N,2026-01-19 10:00:00,batch_003,workqueue_actions_batch_003.csv
50064,3417,7,2026-01-15,REVIEW,1,Y,2026-01-19 10:00:00,batch_003,workqueue_actions_batch_003.csv
50065,2020,17,2026-01-15,ESCALATE,3,Y,2026-01-19 10:00:00,batch_003,workqueue_actions_batch_003.csv
50066,3485,2,2026-01-17,CALL,0,Y,2026-01-19 10:00:00,batch_003,workqueue_actions_batch_003.csv
50067,5229,12,2026-01-17,REVIEW,0,Y,2026-01-19 10:00:00,batch_003,workqueue_actions_batch_003.csv
50068,3963,1,2026-01-14,NOTE,0,N,2026-01-19 10:00:00,batch_003,workqueue_actions_batch_003.csv
50069,2571,15,2026-01-14,NOTE,1,Y,2026-01-19 10:00:00,batch_003,workqueue_actions_batch_003.csv
50070,2680,8,2026-01-17,CALL,2,Y,2026-01-19 10:00:00,batch_003,workqueue_actions_batch_003.csv
50071,1039,6,2026-01-18,CALL,2,N,2026-01-19 10:00:00,batch_003,workqueue_actions_batch_003.csv
50072,3273,12,2026-01-15,CALL,2,Y,2026-01-19 10:00:00,batch_003,workqueue_actions_batch_003.csv
50073,1042,4,2026-01-15,NOTE,0,N,2026-01-19 10:00:00,batch_003,workqueue_actions_batch_003.csv
50074,1371,3,2026-01-17,REVIEW,3,Y,2026-01-19 10:00:00,batch_003,workqueue_actions_batch_003.csv
50075,1844,15,2026-01-17,CALL,4,Y,2026-01-19 10:00:00,batch_003,workqueue_actions_batch_003.csv
50076,2821,12,2026-01-19,REVIEW,4,N,2026-01-19 10:00:00,batch_003,workqueue_actions_batch_003.csv
50077,4962,17,2026-01-14,CALL,4,Y,2026-01-19 10:00:00,batch_003,workqueue_actions_batch_003.csv
50078,2831,17,2026-01-19,ESCALATE,0,N,2026-01-19 10:00:00,batch_003,workqueue_actions_batch_003.csv
50079,1080,8,2026-01-16,ESCALATE,1,Y,2026-01-19 10:00:00,batch_003,workqueue_actions_batch_003.csv
50080,5238,8,2026-01-14,CALL,3,Y,2026-01-19 10:00:00,batch_003,workqueue_actions_batch_003.csv
50081,5316,13,2026-01-18,REVIEW,0,N,2026-01-19 10:00:00,batch_003,workqueue_actions_batch_003.csv
50082,4004,17,2026-01-17,NOTE,3,Y,2026-01-19 10:00:00,batch_003,workqueue_actions_batch_003.csv
50083,1648,5,2026-01-19,CALL,1,N,2026-01-19 10:00:00,batch_003,workqueue_actions_batch_003.csv
50084,4549,15,2026-01-16,ESCALATE,2,Y,2026-01-19 10:00:00,batch_003,workqueue_actions_batch_003.csv
50085,2567,6,2026-01-16,CALL,2,Y,2026-01-19 10:00:00,batch_003,workqueue_actions_batch_003.csv
50086,4906,17,2026-01-15,ESCALATE,4,N,2026-01-19 10:00:00,batch_003,workqueue_actions_batch_003.csv
50087,1153,15,2026-01-18,ESCALATE,0,N,2026-01-19 10:00:00,batch_003,workqueue_actions_batch_003.csv
50088,5241,18,2026-01-17,CALL,0,Y,2026-01-19 10:00:00,batch_003,workqueue_actions_batch_003.csv
50089,2976,6,2026-01-15,CALL,2,N,2026-01-19 10:00:00,batch_003,workqueue_actions_batch_003.csv
50090,4454,11,2026-01-17,ESCALATE,3,Y,2026-01-19 10:00:00,batch_003,workqueue_actions_batch_003.csv
50091,2427,7,2026-01-18,CALL,3,N,2026-01-19 10:00:00,batch_003,workqueue_actions_batch_003.csv
50092,4268,13,2026-01-18,CALL,2,Y,2026-01-19 10:00:00,batch_003,workqueue_actions_batch_003.csv
50093,4999,10,2026-01-14,CALL,0,N,2026-01-19 10:00:00,batch_003,workqueue_actions_batch_003.csv
50094,5255,6,2026-01-18,REVIEW,1,Y,2026-01-19 10:00:00,batch_003,workqueue_actions_batch_003.csv
50095,2132,3,2026-01-18,CALL,1,N,2026-01-19 10:00:00,batch_003,workqueue_actions_batch_003.csv
50096,3529,6,2026-01-19,CALL,2,N,2026-01-19 10:00:00,batch_003,workqueue_actions_batch_003.csv
50097,1873,14,2026-01-15,ESCALATE,4,Y,2026-01-19 10:00:00,batch_003,workqueue_actions_batch_003.csv
50098,3120,3,2026-01-16,REVIEW,0,Y,2026-01-19 10:00:00,batch_003,workqueue_actions_batch_003.csv
50099,1861,19,2026-01-17,REVIEW,4,N,2026-01-19 10:00:00,batch_003,workqueue_actions_batch_003.csv
